Componente,Variable en Figma,Token en el tema,La usa una capa de Figma,La lee el CSS de PrimeNG,Veredicto,bloque,capa de Figma,selector CSS,accionable,motivo,revisado
contextmenu,submenu/icon/active/color,--p-contextmenu-submenu-icon-active-color,sí,sí,conectada,item,"chevron_forward, variante State=Active",.p-contextmenu-item-active .p-contextmenu-submenu-icon,HECHO,"estaba atada a submenu/icon/focus/color; mismo color, sin cambio visual",2026-09-03
contextmenu,submenu/icon/color,--p-contextmenu-submenu-icon-color,sí,sí,conectada,,,,,,
contextmenu,submenu/icon/focus/color,--p-contextmenu-submenu-icon-focus-color,sí,sí,conectada,,,,,,
contextmenu,submenu/icon/size,--p-contextmenu-submenu-icon-size,sí,sí,conectada,,,,,,
contextmenu,submenu/mobile/indent,--p-contextmenu-submenu-mobile-indent,no,no,muerta,,,,,,
contextmenu,,--p-contextmenu-shadow,,sí,solo web,,,,,,
contextmenu,,--p-contextmenu-transition-duration,,sí,solo web,,,,,,
datatable,body/cell/border/color,--p-datatable-body-cell-border-color,sí,sí,conectada,,,,,,
datatable,body/cell/lg/padding/x,--p-datatable-body-cell-lg-padding,sí,sí,conectada,,,,,,
datatable,body/cell/lg/padding/y,--p-datatable-body-cell-lg-padding,sí,sí,conectada,,,,,,
datatable,body/cell/padding/x,--p-datatable-body-cell-padding,sí,sí,conectada,,,,,,
datatable,body/cell/padding/y,--p-datatable-body-cell-padding,sí,sí,conectada,,,,,,
datatable,body/cell/selected/border/color,--p-datatable-body-cell-selected-border-color,no,sí,Figma no la usa,bodyCell,no hay capa,.p-datatable-tbody>tr.p-datatable-row-selected>td,no,"la celda no tiene eje Selected; la selección se dibuja en la fila",2026-09-03
datatable,body/cell/sm/padding/x,--p-datatable-body-cell-sm-padding,sí,sí,conectada,,,,,,
datatable,body/cell/sm/padding/y,--p-datatable-body-cell-sm-padding,sí,sí,conectada,,,,,,
datatable,border/color,--p-datatable-border-color,no,no,muerta,,,,,,
datatable,column/footer/font/weight,--p-datatable-column-footer-font-weight,sí,sí,conectada,,,,,,
datatable,column/resizer/width,--p-datatable-column-resizer-width,no,sí,Figma no la usa,resize,no hay capa,.p-datatable-column-resizer,no,FALTA DIBUJARLO: no se dibuja el redimensionado de columnas,2026-09-03
datatable,column/title/font/weight,--p-datatable-column-title-font-weight,sí,sí,conectada,,,,,,
datatable,drop/point/color,--p-datatable-drop-point-color,no,sí,Figma no la usa,reorder,no hay capa,.p-datatable-drop-point,no,FALTA DIBUJARLO: no se dibuja el reordenado de columnas,2026-09-03
datatable,filter/constraint/border/radius,--p-datatable-filter-constraint-border-radius,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/constraint/color,--p-datatable-filter-constraint-color,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/constraint/focus/background,--p-datatable-filter-constraint-focus-background,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/constraint/focus/color,--p-datatable-filter-constraint-focus-color,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/constraint/list/gap,--p-datatable-filter-constraint-list-gap,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/constraint/selected/background,--p-datatable-filter-constraint-selected-background,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/constraint/selected/color,--p-datatable-filter-constraint-selected-color,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/constraint/selected/focus/background,--p-datatable-filter-constraint-selected-focus-background,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/constraint/selected/focus/color,--p-datatable-filter-constraint-selected-focus-color,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/constraint/separator/border/color,--p-datatable-filter-constraint-separator-border-color,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/inline/gap,--p-datatable-filter-inline-gap,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/overlay/popover/background,--p-datatable-filter-overlay-popover-background,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/overlay/popover/border/color,--p-datatable-filter-overlay-popover-border-color,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/overlay/popover/border/radius,--p-datatable-filter-overlay-popover-border-radius,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/overlay/popover/color,--p-datatable-filter-overlay-popover-color,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/overlay/popover/gap,--p-datatable-filter-overlay-popover-gap,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/overlay/popover/padding,--p-datatable-filter-overlay-popover-padding,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/overlay/select/background,--p-datatable-filter-overlay-select-background,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/overlay/select/border/color,--p-datatable-filter-overlay-select-border-color,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/overlay/select/border/radius,--p-datatable-filter-overlay-select-border-radius,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/overlay/select/color,--p-datatable-filter-overlay-select-color,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,filter/rule/border/color,--p-datatable-filter-rule-border-color,no,sí,Figma no la usa,overlay de filtros,no hay capa,.p-datatable-filter-*,no,FALTA DIBUJARLO: el DS no dibuja el overlay de filtros (0 capas con ese nombre en la página),2026-09-03
datatable,footer/background,--p-datatable-footer-background,sí,sí,conectada,,,,,,
datatable,footer/border/color,--p-datatable-footer-border-color,sí,sí,conectada,,,,,,
datatable,footer/border/width,--p-datatable-footer-border-width,sí,sí,conectada,footer,"datatable-footer, 3 variantes (lado inferior)",.p-datatable-footer { border-width },HECHO,idem,2026-09-03
datatable,footer/cell/background,--p-datatable-footer-cell-background,sí,sí,conectada,,,,,,
datatable,footer/cell/border/color,--p-datatable-footer-cell-border-color,sí,sí,conectada,,,,,,
datatable,footer/cell/color,--p-datatable-footer-cell-color,sí,sí,conectada,,,,,,
datatable,footer/cell/lg/padding/x,--p-datatable-footer-cell-lg-padding,sí,sí,conectada,,,,,,
datatable,footer/cell/lg/padding/y,--p-datatable-footer-cell-lg-padding,sí,sí,conectada,,,,,,
datatable,footer/cell/padding/x,--p-datatable-footer-cell-padding,sí,sí,conectada,,,,,,
datatable,footer/cell/padding/y,--p-datatable-footer-cell-padding,sí,sí,conectada,,,,,,
datatable,footer/cell/sm/padding/x,--p-datatable-footer-cell-sm-padding,sí,sí,conectada,,,,,,
datatable,footer/cell/sm/padding/y,--p-datatable-footer-cell-sm-padding,sí,sí,conectada,,,,,,
datatable,footer/color,--p-datatable-footer-color,sí,sí,conectada,,,,,,
datatable,footer/lg/padding/x,--p-datatable-footer-lg-padding,sí,sí,conectada,,,,,,
datatable,footer/lg/padding/y,--p-datatable-footer-lg-padding,sí,sí,conectada,,,,,,
datatable,footer/padding/x,--p-datatable-footer-padding,sí,sí,conectada,,,,,,
datatable,footer/padding/y,--p-datatable-footer-padding,sí,sí,conectada,,,,,,
datatable,footer/sm/padding/x,--p-datatable-footer-sm-padding,sí,sí,conectada,,,,,,
datatable,footer/sm/padding/y,--p-datatable-footer-sm-padding,sí,sí,conectada,,,,,,
datatable,header/background,--p-datatable-header-background,sí,sí,conectada,,,,,,
datatable,header/border/color,--p-datatable-header-border-color,sí,sí,conectada,,,,,,
datatable,header/border/width,--p-datatable-header-border-width,sí,sí,conectada,header,"datatable-header, 3 variantes (lado inferior)",.p-datatable-header { border-width },HECHO,"atado el grosor inferior a la variable; valía 1 y sigue valiendo 1",2026-09-03
datatable,header/cell/background,--p-datatable-header-cell-background,sí,sí,conectada,,,,,,
datatable,header/cell/border/color,--p-datatable-header-cell-border-color,sí,sí,conectada,,,,,,
datatable,header/cell/color,--p-datatable-header-cell-color,sí,sí,conectada,,,,,,
datatable,header/cell/focus/ring/color,--p-datatable-header-cell-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,outline,no,"el DataTable no dibuja estado de foco: header-cell, row y toggle button no tienen eje Focus",2026-09-03
datatable,header/cell/focus/ring/offset,--p-datatable-header-cell-focus-ring-offset,no,sí,Figma no la usa,focusRing,no hay capa,outline,no,"el DataTable no dibuja estado de foco: header-cell, row y toggle button no tienen eje Focus",2026-09-03
datatable,header/cell/focus/ring/width,--p-datatable-header-cell-focus-ring-width,no,sí,Figma no la usa,focusRing,no hay capa,outline,no,"el DataTable no dibuja estado de foco: header-cell, row y toggle button no tienen eje Focus",2026-09-03
datatable,header/cell/gap,--p-datatable-header-cell-gap,sí,sí,conectada,,,,,,
datatable,header/cell/hover/background,--p-datatable-header-cell-hover-background,sí,sí,conectada,,,,,,
datatable,header/cell/hover/color,--p-datatable-header-cell-hover-color,sí,sí,conectada,,,,,,
datatable,header/cell/lg/padding/x,--p-datatable-header-cell-lg-padding,sí,sí,conectada,,,,,,
datatable,header/cell/lg/padding/y,--p-datatable-header-cell-lg-padding,sí,sí,conectada,,,,,,
datatable,header/cell/padding/x,--p-datatable-header-cell-padding,sí,sí,conectada,,,,,,
datatable,header/cell/padding/y,--p-datatable-header-cell-padding,sí,sí,conectada,,,,,,
datatable,header/cell/selected/background,--p-datatable-header-cell-selected-background,sí,sí,conectada,,,,,,
datatable,header/cell/selected/color,--p-datatable-header-cell-selected-color,sí,sí,conectada,,,,,,
datatable,header/cell/sm/padding/x,--p-datatable-header-cell-sm-padding,sí,sí,conectada,,,,,,
datatable,header/cell/sm/padding/y,--p-datatable-header-cell-sm-padding,sí,sí,conectada,,,,,,
datatable,header/color,--p-datatable-header-color,sí,sí,conectada,,,,,,
datatable,header/lg/padding/x,--p-datatable-header-lg-padding,sí,sí,conectada,,,,,,
datatable,header/lg/padding/y,--p-datatable-header-lg-padding,sí,sí,conectada,,,,,,
datatable,header/padding/x,--p-datatable-header-padding,sí,sí,conectada,,,,,,
datatable,header/padding/y,--p-datatable-header-padding,sí,sí,conectada,,,,,,
datatable,header/sm/padding/x,--p-datatable-header-sm-padding,sí,sí,conectada,,,,,,
datatable,header/sm/padding/y,--p-datatable-header-sm-padding,sí,sí,conectada,,,,,,
datatable,loading/icon/size,--p-datatable-loading-icon-size,no,sí,Figma no la usa,loading,no hay capa,.p-datatable-loading-icon,no,FALTA DIBUJARLO: no se dibuja el estado de carga,2026-09-03
datatable,paginator/bottom/border/color,--p-datatable-paginator-bottom-border-color,no,sí,Figma no la usa,paginator,no hay capa,.p-datatable-paginator-*,no,FALTA DIBUJARLO: el DS no dibuja el paginador dentro de la tabla,2026-09-03
datatable,paginator/bottom/border/width,--p-datatable-paginator-bottom-border-width,no,sí,Figma no la usa,paginator,no hay capa,.p-datatable-paginator-*,no,FALTA DIBUJARLO: el DS no dibuja el paginador dentro de la tabla,2026-09-03
datatable,paginator/top/border/color,--p-datatable-paginator-top-border-color,no,sí,Figma no la usa,paginator,no hay capa,.p-datatable-paginator-*,no,FALTA DIBUJARLO: el DS no dibuja el paginador dentro de la tabla,2026-09-03
datatable,paginator/top/border/width,--p-datatable-paginator-top-border-width,no,sí,Figma no la usa,paginator,no hay capa,.p-datatable-paginator-*,no,FALTA DIBUJARLO: el DS no dibuja el paginador dentro de la tabla,2026-09-03
datatable,resize/indicator/color,--p-datatable-resize-indicator-color,no,sí,Figma no la usa,resize,no hay capa,.p-datatable-column-resizer,no,FALTA DIBUJARLO: no se dibuja el redimensionado de columnas,2026-09-03
datatable,resize/indicator/width,--p-datatable-resize-indicator-width,no,sí,Figma no la usa,resize,no hay capa,.p-datatable-column-resizer,no,FALTA DIBUJARLO: no se dibuja el redimensionado de columnas,2026-09-03
datatable,row/background,--p-datatable-row-background,sí,sí,conectada,,,,,,
datatable,row/color,--p-datatable-row-color,sí,sí,conectada,,,,,,
datatable,row/focus/ring/color,--p-datatable-row-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,outline,no,"el DataTable no dibuja estado de foco: header-cell, row y toggle button no tienen eje Focus",2026-09-03
datatable,row/focus/ring/offset,--p-datatable-row-focus-ring-offset,no,sí,Figma no la usa,focusRing,no hay capa,outline,no,"el DataTable no dibuja estado de foco: header-cell, row y toggle button no tienen eje Focus",2026-09-03
datatable,row/focus/ring/width,--p-datatable-row-focus-ring-width,no,sí,Figma no la usa,focusRing,no hay capa,outline,no,"el DataTable no dibuja estado de foco: header-cell, row y toggle button no tienen eje Focus",2026-09-03
datatable,row/hover/background,--p-datatable-row-hover-background,sí,sí,conectada,,,,,,
datatable,row/hover/color,--p-datatable-row-hover-color,sí,sí,conectada,,,,,,
datatable,row/selected/background,--p-datatable-row-selected-background,sí,sí,conectada,,,,,,
datatable,row/selected/color,--p-datatable-row-selected-color,sí,sí,conectada,,,,,,
datatable,row/striped/background,--p-datatable-row-striped-background,sí,sí,conectada,,,,,,
datatable,row/toggle/button/border/radius,--p-datatable-row-toggle-button-border-radius,sí,sí,conectada,,,,,,
datatable,row/toggle/button/color,--p-datatable-row-toggle-button-color,sí,sí,conectada,,,,,,
datatable,row/toggle/button/focus/ring/color,--p-datatable-row-toggle-button-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,outline,no,"el DataTable no dibuja estado de foco: header-cell, row y toggle button no tienen eje Focus",2026-09-03
datatable,row/toggle/button/focus/ring/offset,--p-datatable-row-toggle-button-focus-ring-offset,no,sí,Figma no la usa,focusRing,no hay capa,outline,no,"el DataTable no dibuja estado de foco: header-cell, row y toggle button no tienen eje Focus",2026-09-03
datatable,row/toggle/button/focus/ring/width,--p-datatable-row-toggle-button-focus-ring-width,no,sí,Figma no la usa,focusRing,no hay capa,outline,no,"el DataTable no dibuja estado de foco: header-cell, row y toggle button no tienen eje Focus",2026-09-03
datatable,row/toggle/button/hover/background,--p-datatable-row-toggle-button-hover-background,sí,sí,conectada,,,,,,
datatable,row/toggle/button/hover/color,--p-datatable-row-toggle-button-hover-color,no,sí,Figma no la usa,rowToggleButton,"icono del toggle, 8 capas",.p-datatable-row-toggle-button:hover,PENDIENTE DE DECISIÓN,"el icono usa la variable REMOTA «Icon» (#8f97a3) de la librería, no la del DS (#4f5663); atarlo cambia el color",2026-09-03
datatable,row/toggle/button/selected/hover/background,--p-datatable-row-toggle-button-selected-hover-background,no,sí,Figma no la usa,rowToggleButton,"fondo del toggle, 2 variantes Selected+Hover",.p-datatable-row-selected .p-datatable-row-toggle-button:hover,PENDIENTE DE DECISIÓN,"usa treetable/row/selected/background (#edf0f5), de OTRO componente; la del DS vale #ffffff, así que cambia el dibujo",2026-09-03
datatable,row/toggle/button/selected/hover/color,--p-datatable-row-toggle-button-selected-hover-color,no,sí,Figma no la usa,rowToggleButton,"icono del toggle, variantes Selected",.p-datatable-row-selected .p-datatable-row-toggle-button:hover,PENDIENTE DE DECISIÓN,"idem; la del DS vale #1b273d",2026-09-03
datatable,row/toggle/button/size,--p-datatable-row-toggle-button-size,sí,sí,conectada,,,,,,
datatable,sort/icon/color,--p-datatable-sort-icon-color,sí,sí,conectada,,,,,,
datatable,sort/icon/hover/color,--p-datatable-sort-icon-hover-color,sí,sí,conectada,,,,,,
datatable,sort/icon/size,--p-datatable-sort-icon-size,sí,sí,conectada,,,,,,
datatable,,--p-datatable-filter-constraint-list-padding,,sí,solo web,,,,,,
datatable,,--p-datatable-filter-constraint-padding,,sí,solo web,,,,,,
datatable,,--p-datatable-filter-overlay-popover-shadow,,sí,solo web,,,,,,
datatable,,--p-datatable-filter-overlay-select-shadow,,sí,solo web,,,,,,
datatable,,--p-datatable-header-cell-focus-ring-shadow,,sí,solo web,,,,,,
datatable,,--p-datatable-header-cell-focus-ring-style,,sí,solo web,,,,,,
datatable,,--p-datatable-row-focus-ring-shadow,,sí,solo web,,,,,,
datatable,,--p-datatable-row-focus-ring-style,,sí,solo web,,,,,,
datatable,,--p-datatable-row-toggle-button-focus-ring-shadow,,sí,solo web,,,,,,
datatable,,--p-datatable-row-toggle-button-focus-ring-style,,sí,solo web,,,,,,
datatable,,--p-datatable-transition-duration,,sí,solo web,,,,,,
dialog,background,--p-dialog-background,sí,sí,conectada,,,,,,
dialog,border/color,--p-dialog-border-color,sí,sí,conectada,,,,,,
dialog,border/radius,--p-dialog-border-radius,sí,sí,conectada,,,,,,
dialog,color,--p-dialog-color,sí,sí,conectada,,,,,,
dialog,content/padding/bottom,--p-dialog-content-padding,sí,sí,conectada,,,,,,
dialog,content/padding/left,--p-dialog-content-padding,sí,sí,conectada,,,,,,
dialog,content/padding/right,--p-dialog-content-padding,sí,sí,conectada,,,,,,
dialog,content/padding/top,--p-dialog-content-padding,sí,sí,conectada,,,,,,
dialog,footer/gap,--p-dialog-footer-gap,sí,sí,conectada,,,,,,
dialog,footer/padding/bottom,--p-dialog-footer-padding,sí,sí,conectada,,,,,,
dialog,footer/padding/left,--p-dialog-footer-padding,sí,sí,conectada,,,,,,
dialog,footer/padding/right,--p-dialog-footer-padding,sí,sí,conectada,,,,,,
dialog,footer/padding/top,--p-dialog-footer-padding,sí,sí,conectada,,,,,,
dialog,header/gap,--p-dialog-header-gap,sí,sí,conectada,,,,,,
dialog,header/padding,--p-dialog-header-padding,sí,sí,conectada,,,,,,
dialog,title/font/size,--p-dialog-title-font-size,sí,sí,conectada,,,,,,
dialog,title/font/weight,--p-dialog-title-font-weight,sí,sí,conectada,,,,,,
dialog,,--p-dialog-shadow,,sí,solo web,,,,,,
inputnumber,button/active/background,--p-inputnumber-button-active-background,sí,sí,conectada,,,,,,
inputnumber,button/active/border/color,--p-inputnumber-button-active-border-color,sí,sí,conectada,,,,,,
inputnumber,button/active/color,--p-inputnumber-button-active-color,sí,sí,conectada,,,,,,
inputnumber,button/background,--p-inputnumber-button-background,sí,sí,conectada,,,,,,
inputnumber,button/border/color,--p-inputnumber-button-border-color,sí,sí,conectada,,,,,,
inputnumber,button/border/radius,--p-inputnumber-button-border-radius,sí,sí,conectada,,,,,,
inputnumber,button/color,--p-inputnumber-button-color,sí,sí,conectada,,,,,,
inputnumber,button/hover/background,--p-inputnumber-button-hover-background,sí,sí,conectada,,,,,,
inputnumber,button/hover/border/color,--p-inputnumber-button-hover-border-color,sí,sí,conectada,,,,,,
inputnumber,button/hover/color,--p-inputnumber-button-hover-color,sí,sí,conectada,,,,,,
inputnumber,button/vertical/padding,--p-inputnumber-button-vertical-padding,sí,sí,conectada,,,,,,
inputnumber,button/width,--p-inputnumber-button-width,sí,sí,conectada,,,,,,
inputnumber,,--p-inputnumber-transition-duration,,sí,solo web,,,,,,
inputtext,background,--p-inputtext-background,sí,sí,conectada,,,,,,
inputtext,border/color,--p-inputtext-border-color,sí,sí,conectada,,,,,,
inputtext,border/radius,--p-inputtext-border-radius,sí,sí,conectada,,,,,,
inputtext,color,--p-inputtext-color,sí,sí,conectada,,,,,,
inputtext,disabled/background,--p-inputtext-disabled-background,sí,sí,conectada,,,,,,
inputtext,disabled/color,--p-inputtext-disabled-color,sí,sí,conectada,,,,,,
inputtext,filled/background,--p-inputtext-filled-background,sí,sí,conectada,,,,,,
inputtext,filled/focus/background,--p-inputtext-filled-focus-background,sí,sí,conectada,,,,,,
inputtext,filled/hover/background,--p-inputtext-filled-hover-background,sí,sí,conectada,,,,,,
inputtext,focus/border/color,--p-inputtext-focus-border-color,sí,sí,conectada,,,,,,
inputtext,focus/ring/color,--p-inputtext-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el foco se dibuja como cambio de color de borde (inputtext/focus/border/color) más sombra, no como anillo",2026-09-03
inputtext,focus/ring/offset,--p-inputtext-focus-ring-offset,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el foco se dibuja como cambio de color de borde (inputtext/focus/border/color) más sombra, no como anillo",2026-09-03
inputtext,focus/ring/width,--p-inputtext-focus-ring-width,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el foco se dibuja como cambio de color de borde (inputtext/focus/border/color) más sombra, no como anillo",2026-09-03
inputtext,hover/border/color,--p-inputtext-hover-border-color,sí,sí,conectada,,,,,,
inputtext,invalid/border/color,--p-inputtext-invalid-border-color,sí,sí,conectada,,,,,,
inputtext,invalid/placeholder/color,--p-inputtext-invalid-placeholder-color,sí,sí,conectada,,,,,,
inputtext,lg/font/size,--p-inputtext-lg-font-size,sí,sí,conectada,,,,,,
inputtext,lg/padding/x,--p-inputtext-lg-padding-x,sí,sí,conectada,,,,,,
inputtext,lg/padding/y,--p-inputtext-lg-padding-y,sí,sí,conectada,,,,,,
inputtext,padding/x,--p-inputtext-padding-x,sí,sí,conectada,,,,,,
inputtext,padding/y,--p-inputtext-padding-y,sí,sí,conectada,,,,,,
inputtext,placeholder/color,--p-inputtext-placeholder-color,sí,sí,conectada,,,,,,
inputtext,sm/font/size,--p-inputtext-sm-font-size,sí,sí,conectada,,,,,,
inputtext,sm/padding/x,--p-inputtext-sm-padding-x,sí,sí,conectada,,,,,,
inputtext,sm/padding/y,--p-inputtext-sm-padding-y,sí,sí,conectada,,,,,,
inputtext,,--p-inputtext-focus-ring-shadow,,sí,solo web,,,,,,
inputtext,,--p-inputtext-focus-ring-style,,sí,solo web,,,,,,
inputtext,,--p-inputtext-shadow,,sí,solo web,,,,,,
inputtext,,--p-inputtext-transition-duration,,sí,solo web,,,,,,
menu,background,--p-menu-background,sí,sí,conectada,,,,,,
menu,border/color,--p-menu-border-color,sí,sí,conectada,,,,,,
menu,border/radius,--p-menu-border-radius,sí,sí,conectada,,,,,,
menu,color,--p-menu-color,no,sí,Figma no la usa,root,no hay capa,.p-menu { color },no,"color de texto heredado del panel; en Figma cada texto lleva el suyo",2026-09-03
menu,item/border/radius,--p-menu-item-border-radius,sí,sí,conectada,,,,,,
menu,item/color,--p-menu-item-color,sí,sí,conectada,,,,,,
menu,item/focus/background,--p-menu-item-focus-background,sí,sí,conectada,,,,,,
menu,item/focus/color,--p-menu-item-focus-color,sí,sí,conectada,,,,,,
menu,item/gap,--p-menu-item-gap,sí,sí,conectada,,,,,,
menu,item/icon/color,--p-menu-item-icon-color,sí,sí,conectada,item,"refresh del maestro menu-item, variante Idle",.p-menu-item-icon { color },HECHO,"27 capas apuntaban a menubar/item/icon/color; corregido en el maestro, las instancias heredaron; mismo color",2026-09-03
menu,item/icon/focus/color,--p-menu-item-icon-focus-color,sí,sí,conectada,,,,,,
menu,item/padding/x,--p-menu-item-padding,sí,sí,conectada,,,,,,
menu,item/padding/y,--p-menu-item-padding,sí,sí,conectada,,,,,,
menu,list/gap,--p-menu-list-gap,sí,sí,conectada,,,,,,
menu,list/padding/x,--p-menu-list-padding,sí,sí,conectada,,,,,,
menu,list/padding/y,--p-menu-list-padding,sí,sí,conectada,,,,,,
menu,separator/border/color,--p-menu-separator-border-color,sí,sí,conectada,,,,,,
menu,submenu/label/background,--p-menu-submenu-label-background,sí,sí,conectada,,,,,,
menu,submenu/label/color,--p-menu-submenu-label-color,sí,sí,conectada,,,,,,
menu,submenu/label/font/weight,--p-menu-submenu-label-font-weight,sí,sí,conectada,,,,,,
menu,submenu/label/padding/x,--p-menu-submenu-label-padding,sí,sí,conectada,,,,,,
menu,submenu/label/padding/y,--p-menu-submenu-label-padding,sí,sí,conectada,,,,,,
menu,,--p-menu-shadow,,sí,solo web,,,,,,
menu,,--p-menu-transition-duration,,sí,solo web,,,,,,
multiselect,background,--p-multiselect-background,sí,sí,conectada,,,,,,
multiselect,border/color,--p-multiselect-border-color,sí,sí,conectada,,,,,,
multiselect,border/radius,--p-multiselect-border-radius,sí,sí,conectada,,,,,,
multiselect,chip/border/radius,--p-multiselect-chip-border-radius,sí,sí,conectada,,,,,,
multiselect,clear/icon/color,--p-multiselect-clear-icon-color,sí,sí,conectada,,,,,,
multiselect,color,--p-multiselect-color,sí,sí,conectada,,,,,,
multiselect,disabled/background,--p-multiselect-disabled-background,sí,sí,conectada,,,,,,
multiselect,disabled/color,--p-multiselect-disabled-color,sí,sí,conectada,,,,,,
multiselect,dropdown/color,--p-multiselect-dropdown-color,sí,sí,conectada,,,,,,
multiselect,dropdown/width,--p-multiselect-dropdown-width,sí,sí,conectada,,,,,,
multiselect,filled/background,--p-multiselect-filled-background,sí,sí,conectada,,,,,,
multiselect,filled/focus/background,--p-multiselect-filled-focus-background,sí,sí,conectada,,,,,,
multiselect,filled/hover/background,--p-multiselect-filled-hover-background,sí,sí,conectada,,,,,,
multiselect,focus/border/color,--p-multiselect-focus-border-color,sí,sí,conectada,,,,,,
multiselect,focus/ring/color,--p-multiselect-focus-ring-color,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el foco se dibuja como cambio de color de borde (multiselect/focus/border/color) más sombra, no como anillo",2026-09-03
multiselect,focus/ring/offset,--p-multiselect-focus-ring-offset,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el foco se dibuja como cambio de color de borde (multiselect/focus/border/color) más sombra, no como anillo",2026-09-03
multiselect,focus/ring/width,--p-multiselect-focus-ring-width,no,sí,Figma no la usa,focusRing,no hay capa,,no,"el foco se dibuja como cambio de color de borde (multiselect/focus/border/color) más sombra, no como anillo",2026-09-03
